binanceus,
binance,
bitfinex,
bitflyer,
bithumb,
bitmex,
bitstamp,
btc markets,
btse,
bybit,
coinbase,
coinbaseinternational,
coinut,
deribit,
exmo,
gateio,
gemini,
hitbtc,
huobi,
kraken,
kucoin,
lbank,
okx,
poloniex,
yobit,
